opid,speakername,item,itemLabel,born,year,month,day,sexLabel,dist
242074,Paul Lefebvre,http://www.wikidata.org/entity/Q22278827,Paul Lefebvre,1974-01-01,1974,1,1,male,0
215884,Denis Lemieux,http://www.wikidata.org/entity/Q22278836,Denis Lemieux,1964-01-01,1964,1,1,male,0
9683,Denis Lemieux,http://www.wikidata.org/entity/Q22278836,Denis Lemieux,1964-01-01,1964,1,1,male,0
10060,Michael Levitt,http://www.wikidata.org/entity/Q22278851,Michael Levitt,1970-05-09,1970,5,9,male,0
221286,Michael Levitt,http://www.wikidata.org/entity/Q22278851,Michael Levitt,1970-05-09,1970,5,9,male,0
242824,Michael Levitt,http://www.wikidata.org/entity/Q22278851,Michael Levitt,1970-05-09,1970,5,9,male,0
9731,Lloyd Longfield,http://www.wikidata.org/entity/Q22278896,Lloyd Longfield,1956-10-08,1956,10,8,male,0
215953,Lloyd Longfield,http://www.wikidata.org/entity/Q22278896,Lloyd Longfield,1956-10-08,1956,10,8,male,0
219808,Lloyd Longfield,http://www.wikidata.org/entity/Q22278896,Lloyd Longfield,1956-10-08,1956,10,8,male,0
10483,Alistair MacGregor,http://www.wikidata.org/entity/Q22278956,Alistair MacGregor,1970-01-01,1970,1,1,male,0
217116,Alistair MacGregor,http://www.wikidata.org/entity/Q22278956,Alistair MacGregor,1970-01-01,1970,1,1,male,0
217147,Alistair MacGregor,http://www.wikidata.org/entity/Q22278956,Alistair MacGregor,1970-01-01,1970,1,1,male,0
228618,Alistair MacGregor,http://www.wikidata.org/entity/Q22278956,Alistair MacGregor,1970-01-01,1970,1,1,male,0
217270,Alistair MacGregor,http://www.wikidata.org/entity/Q22278956,Alistair MacGregor,1970-01-01,1970,1,1,male,0
228612,Alistair MacGregor,http://www.wikidata.org/entity/Q22278956,Alistair MacGregor,1970-01-01,1970,1,1,male,0
237155,Alistair MacGregor,http://www.wikidata.org/entity/Q22278956,Alistair MacGregor,1970-01-01,1970,1,1,male,0
237002,Alistair MacGregor,http://www.wikidata.org/entity/Q22278956,Alistair MacGregor,1970-01-01,1970,1,1,male,0
8726,Bryan May,http://www.wikidata.org/entity/Q22279113,Bryan May,1974-09-19,1974,9,19,male,0
219472,Bryan May,http://www.wikidata.org/entity/Q22279113,Bryan May,1974-09-19,1974,9,19,male,0
232967,Bryan May,http://www.wikidata.org/entity/Q22279113,Bryan May,1974-09-19,1974,9,19,male,0
215964,Ron McKinnon,http://www.wikidata.org/entity/Q22279147,Ron McKinnon,1951-08-08,1951,8,8,male,0
1515,Ron McKinnon,http://www.wikidata.org/entity/Q22279147,Ron McKinnon,1951-08-08,1951,8,8,male,0
234497,Ron McKinnon,http://www.wikidata.org/entity/Q22279147,Ron McKinnon,1951-08-08,1951,8,8,male,0
219971,Ron McKinnon,http://www.wikidata.org/entity/Q22279147,Ron McKinnon,1951-08-08,1951,8,8,male,0
219871,Marc Miller,http://www.wikidata.org/entity/Q22279214,Marc Miller,1971-03-12,1971,3,12,male,0
10523,Marc Miller,http://www.wikidata.org/entity/Q22279214,Marc Miller,1971-03-12,1971,3,12,male,0
229483,Marc Miller,http://www.wikidata.org/entity/Q22279214,Marc Miller,1971-03-12,1971,3,12,male,0
242085,Marc Miller,http://www.wikidata.org/entity/Q22279214,Marc Miller,1971-03-12,1971,3,12,male,0
903,Eva Nassif,http://www.wikidata.org/entity/Q22279365,Eva Nassif,1953-01-01,1953,1,1,female,0
219502,Eva Nassif,http://www.wikidata.org/entity/Q22279365,Eva Nassif,1953-01-01,1953,1,1,female,0
234530,Eva Nassif,http://www.wikidata.org/entity/Q22279365,Eva Nassif,1953-01-01,1953,1,1,female,0
10551,Alex Nuttall,http://www.wikidata.org/entity/Q22279444,Alex Nuttall,1985-08-10,1985,8,10,male,0
216578,Alex Nuttall,http://www.wikidata.org/entity/Q22279444,Alex Nuttall,1985-08-10,1985,8,10,male,0
218508,Alex Nuttall,http://www.wikidata.org/entity/Q22279444,Alex Nuttall,1985-08-10,1985,8,10,male,0
216712,Alex Nuttall,http://www.wikidata.org/entity/Q22279444,Alex Nuttall,1985-08-10,1985,8,10,male,0
234882,Alex Nuttall,http://www.wikidata.org/entity/Q22279444,Alex Nuttall,1985-08-10,1985,8,10,male,0
234879,Alex Nuttall,http://www.wikidata.org/entity/Q22279444,Alex Nuttall,1985-08-10,1985,8,10,male,0
10309,Jennifer O'Connell,http://www.wikidata.org/entity/Q22279457,Jennifer O'Connell,1983-01-01,1983,1,1,female,0
215918,Jennifer O'Connell,http://www.wikidata.org/entity/Q22279457,Jennifer O'Connell,1983-01-01,1983,1,1,female,0
242087,Jennifer O'Connell,http://www.wikidata.org/entity/Q22279457,Jennifer O'Connell,1983-01-01,1983,1,1,female,0
242299,Jennifer O'Connell,http://www.wikidata.org/entity/Q22279457,Jennifer O'Connell,1983-01-01,1983,1,1,female,0
10396,John Oliver,http://www.wikidata.org/entity/Q22279481,John Oliver,1956-01-01,1956,1,1,male,0
215941,John Oliver,http://www.wikidata.org/entity/Q22279481,John Oliver,1956-01-01,1956,1,1,male,0
219805,John Oliver,http://www.wikidata.org/entity/Q22279481,John Oliver,1956-01-01,1956,1,1,male,0
242088,John Oliver,http://www.wikidata.org/entity/Q22279481,John Oliver,1956-01-01,1956,1,1,male,0
247665,John Oliver,http://www.wikidata.org/entity/Q22279481,John Oliver,1956-01-01,1956,1,1,male,0
9840,Jean-Claude Poissant,http://www.wikidata.org/entity/Q22279696,Jean-Claude Poissant,1960-01-01,1960,1,1,male,0
219902,Jean-Claude Poissant,http://www.wikidata.org/entity/Q22279696,Jean-Claude Poissant,1960-01-01,1960,1,1,male,0
234535,Jean-Claude Poissant,http://www.wikidata.org/entity/Q22279696,Jean-Claude Poissant,1960-01-01,1960,1,1,male,0
229522,Jean-Claude Poissant,http://www.wikidata.org/entity/Q22279696,Jean-Claude Poissant,1960-01-01,1960,1,1,male,0
242096,Jean-Claude Poissant,http://www.wikidata.org/entity/Q22279696,Jean-Claude Poissant,1960-01-01,1960,1,1,male,0
9564,Tracey Ramsey,http://www.wikidata.org/entity/Q22279906,Tracey Ramsey,1971-04-14,1971,4,14,female,0
218968,Tracey Ramsey,http://www.wikidata.org/entity/Q22279906,Tracey Ramsey,1971-04-14,1971,4,14,female,0
246444,Tracey Ramsey,http://www.wikidata.org/entity/Q22279906,Tracey Ramsey,1971-04-14,1971,4,14,female,0
214278,Yves Robillard,http://www.wikidata.org/entity/Q22280066,Yves Robillard,1942-01-01,1942,1,1,male,0
219868,Yves Robillard,http://www.wikidata.org/entity/Q22280066,Yves Robillard,1942-01-01,1942,1,1,male,0
10359,Yves Robillard,http://www.wikidata.org/entity/Q22280066,Yves Robillard,1942-01-01,1942,1,1,male,0
229559,Yves Robillard,http://www.wikidata.org/entity/Q22280066,Yves Robillard,1942-01-01,1942,1,1,male,0
242555,Yves Robillard,http://www.wikidata.org/entity/Q22280066,Yves Robillard,1942-01-01,1942,1,1,male,0
9364,Sherry Romanado,http://www.wikidata.org/entity/Q22280112,Sherry Romanado,1974-04-12,1974,4,12,female,0
224182,Sherry Romanado,http://www.wikidata.org/entity/Q22280112,Sherry Romanado,1974-04-12,1974,4,12,female,0
234571,Sherry Romanado,http://www.wikidata.org/entity/Q22280112,Sherry Romanado,1974-04-12,1974,4,12,female,0
229491,Sherry Romanado,http://www.wikidata.org/entity/Q22280112,Sherry Romanado,1974-04-12,1974,4,12,female,0
242089,Sherry Romanado,http://www.wikidata.org/entity/Q22280112,Sherry Romanado,1974-04-12,1974,4,12,female,0
215948,Dan Ruimy,http://www.wikidata.org/entity/Q22280164,Dan Ruimy,1962-01-01,1962,1,1,male,0
9306,Dan Ruimy,http://www.wikidata.org/entity/Q22280164,Dan Ruimy,1962-01-01,1962,1,1,male,0
10238,Don Rusnak,http://www.wikidata.org/entity/Q22280186,Don Rusnak,1975-10-05,1975,10,5,male,0
216072,Don Rusnak,http://www.wikidata.org/entity/Q22280186,Don Rusnak,1975-10-05,1975,10,5,male,0
234570,Don Rusnak,http://www.wikidata.org/entity/Q22280186,Don Rusnak,1975-10-05,1975,10,5,male,0
234583,Don Rusnak,http://www.wikidata.org/entity/Q22280186,Don Rusnak,1975-10-05,1975,10,5,male,0
9954,Darrell Samson,http://www.wikidata.org/entity/Q22280268,Darrell Samson,1958-10-13,1958,10,13,male,0
215887,Darrell Samson,http://www.wikidata.org/entity/Q22280268,Darrell Samson,1958-10-13,1958,10,13,male,0
234523,Darrell Samson,http://www.wikidata.org/entity/Q22280268,Darrell Samson,1958-10-13,1958,10,13,male,0
215947,Ramesh Sangha,http://www.wikidata.org/entity/Q22280290,Ramesh Sangha,1945-06-06,1945,6,6,male,0
10572,Ramesh Sangha,http://www.wikidata.org/entity/Q22280290,Ramesh Sangha,1945-06-06,1945,6,6,male,0
799,Brigitte Sansoucy,http://www.wikidata.org/entity/Q22280296,Brigitte Sansoucy,1963-01-01,1963,1,1,female,0
217214,Brigitte Sansoucy,http://www.wikidata.org/entity/Q22280296,Brigitte Sansoucy,1963-01-01,1963,1,1,female,0
230593,Brigitte Sansoucy,http://www.wikidata.org/entity/Q22280296,Brigitte Sansoucy,1963-01-01,1963,1,1,female,0
